#{"t_start": 1522494660.6319315, "env_id": "HalfCheetah-v2"}
r,l,t
488.164365,1000,344.092385
1080.090452,1000,348.392341
185.893457,1000,352.572961
1508.955582,1000,356.826719
1465.787605,1000,360.954361
-227.381512,1000,365.19053
160.87894,1000,369.352001
1302.497511,1000,373.633135
1273.305087,1000,377.769914
1344.962353,1000,381.911741
1716.240133,1000,386.048402
-534.078968,1000,390.325497
1264.365074,1000,394.473795
1321.519342,1000,398.680209
1229.587791,1000,402.769008
1319.455783,1000,407.021825
1532.671318,1000,411.199967
1357.234431,1000,415.502063
1551.332229,1000,419.532311
-603.207325,1000,423.79893
810.56408,1000,427.964591
1412.370656,1000,432.253467
1318.56387,1000,436.350878
-496.281569,1000,440.599205
559.660808,1000,444.762042
1439.526309,1000,449.053729
1394.085955,1000,453.207705
1640.458137,1000,457.42443
-275.814768,1000,461.56319
-600.300479,1000,465.867852
1448.842214,1000,470.002547
1306.51653,1000,474.260699
1356.090663,1000,478.346208
1500.523973,1000,482.6131
1569.909038,1000,486.805019
-422.194021,1000,491.059202
1376.780342,1000,495.113903
1221.328396,1000,499.440979
1289.404249,1000,503.598416
1468.576616,1000,507.890774
924.741489,1000,511.938882
847.995931,1000,516.249703
1145.142944,1000,520.406814
1289.805143,1000,524.681821
1413.927984,1000,528.780451
1595.894456,1000,533.043963
1670.21403,1000,537.21288
1337.483358,1000,541.501
1631.972563,1000,545.648395
1274.505216,1000,549.829434
460.774238,1000,553.978143
-597.621835,1000,558.308895
1521.967527,1000,562.428038
1487.215346,1000,566.700217
1748.114714,1000,570.773579
1502.131089,1000,575.085424
1730.391355,1000,579.250031
1807.580949,1000,583.583646
1647.762386,1000,587.620133
1585.212634,1000,591.922097
1813.855932,1000,596.067555
1781.348697,1000,600.427909
1755.615115,1000,604.534604
1841.098229,1000,608.787977
-548.659799,1000,612.94343
1399.208998,1000,617.279155
1022.688379,1000,621.402176
1601.202752,1000,625.611239
-541.41275,1000,629.793224
1426.84158,1000,634.123362
928.43301,1000,638.284792
1613.11792,1000,642.528348
1496.661355,1000,646.60493
1533.48886,1000,650.918683
1584.684376,1000,655.061149
1536.247309,1000,659.422739
1594.930101,1000,663.490789
1490.137774,1000,667.862195
85.500363,1000,672.006118
1109.183806,1000,676.348723
1390.529845,1000,680.488033
1245.479485,1000,684.772772
1646.884841,1000,688.961867
1714.251487,1000,693.311315
1687.938815,1000,697.4662
1524.430801,1000,701.794509
1755.875117,1000,705.903558
84.177107,1000,710.26534
1672.674268,1000,714.420626
1511.570331,1000,718.750446
1600.165749,1000,722.80261
1501.846086,1000,727.176731
-450.232984,1000,731.384451
1485.233322,1000,735.748435
1658.453932,1000,739.843961
1294.216792,1000,744.160837
-151.176331,1000,748.358062
1527.713569,1000,752.739001
1620.243588,1000,756.943288
1508.184096,1000,761.241918
1413.511916,1000,765.382972
785.251204,1000,769.770681
1685.291607,1000,773.955339
1731.713169,1000,778.335516
1791.69746,1000,782.383952
1772.345455,1000,786.747185
225.508973,1000,790.873124
1711.983445,1000,795.288503
1632.298592,1000,799.433894
1832.250415,1000,803.745797
1716.312506,1000,807.899163
1806.32597,1000,812.281689
1711.758858,1000,816.424853
1669.433114,1000,820.694982
1416.466237,1000,824.830175
1716.594064,1000,829.196256
1793.813452,1000,833.339049
1806.613083,1000,837.647989
1827.735052,1000,841.701117
1495.297474,1000,846.067436
1830.55853,1000,850.203143
1349.527064,1000,854.568273
1505.18919,1000,858.616824
1752.401514,1000,862.944298
1624.536152,1000,867.081971
1304.961417,1000,871.444552
1554.156703,1000,875.554037
1520.166018,1000,879.851149
1543.929731,1000,884.003096
1622.390783,1000,888.38596
1699.84097,1000,892.543353
1736.16136,1000,896.873794
1668.6721,1000,900.991546
1402.414065,1000,905.388469
1669.60145,1000,909.50167
1658.793223,1000,913.88814
1839.174745,1000,917.927827
1696.969921,1000,922.309986
1700.722114,1000,926.462863
1748.125442,1000,930.822316
1683.018307,1000,934.91908
1751.545373,1000,939.234243
195.693791,1000,943.384736
1489.286013,1000,947.799025
1620.191726,1000,951.978167
1321.112306,1000,956.345217
1450.408262,1000,960.490186
1405.635355,1000,964.910388
1755.1014,1000,969.074935
1712.738287,1000,973.464827
1542.821137,1000,977.500581
1813.076183,1000,981.903531
1471.933838,1000,986.046581
1006.324779,1000,990.454983
1692.965629,1000,994.57045
1866.488953,1000,998.906957
1725.379885,1000,1003.043149
1721.752998,1000,1007.453412
1808.585491,1000,1011.599046
1702.612956,1000,1015.967792
1910.463339,1000,1020.07757
1754.035986,1000,1024.517052
1494.959076,1000,1028.642998
1657.023478,1000,1033.075058
1696.256203,1000,1037.10184
1775.030849,1000,1041.547545
1855.060971,1000,1045.708205
906.334332,1000,1050.105093
1466.065579,1000,1054.210771
1513.221733,1000,1058.54316
1622.261492,1000,1062.712565
1787.496999,1000,1067.153713
1750.914579,1000,1071.30594
1049.507802,1000,1075.685734
1869.11053,1000,1079.778942
1760.19783,1000,1084.257778
1592.729976,1000,1088.420368
1511.821601,1000,1092.903386
1531.794913,1000,1096.967986
1833.600726,1000,1101.364858
1992.137595,1000,1105.535715
1722.20857,1000,1109.9556
1273.121183,1000,1114.152491
1861.110191,1000,1118.547968
1659.324846,1000,1122.722353
1733.505201,1000,1127.202324
1687.734627,1000,1131.40402
1927.531261,1000,1135.910446
1416.083117,1000,1139.988536
1893.620152,1000,1144.49157
1823.214163,1000,1148.626468
1797.631337,1000,1153.061759
1669.02988,1000,1157.21732
1715.919977,1000,1161.568298
1732.221063,1000,1165.701034
1696.245728,1000,1170.149737
1575.753282,1000,1174.309148
1807.591048,1000,1178.729552
1278.010088,1000,1182.815299
1516.52664,1000,1187.297425
1839.89972,1000,1191.473858
1308.559832,1000,1195.93971
1517.918688,1000,1200.048252
1574.74428,1000,1204.467427
1659.632604,1000,1208.613417
1775.392766,1000,1213.110529
1767.819729,1000,1217.275606
1574.989577,1000,1221.747854
1936.993042,1000,1225.856713
1888.633061,1000,1230.367209
1802.333004,1000,1234.551201
1673.192383,1000,1239.071656
1302.805272,1000,1243.121797
1847.443496,1000,1247.553815
1797.380274,1000,1251.721968
1757.660252,1000,1256.239845
1310.230208,1000,1260.439835
1804.79656,1000,1264.852182
1700.610189,1000,1268.935397
1701.40155,1000,1273.446264
1611.663047,1000,1277.625498
2006.591177,1000,1282.164969
1738.148419,1000,1286.27817
2064.533822,1000,1290.768262
1720.459259,1000,1294.924604
1849.759523,1000,1299.439565
1668.834779,1000,1303.604538
2076.585024,1000,1307.997986
1898.684076,1000,1312.147338
2152.789904,1000,1316.637203
1852.289057,1000,1320.78418
1004.643989,1000,1325.293123
1881.641484,1000,1329.333137
1941.986237,1000,1333.845091
7.426219,1000,1337.979912
1706.467242,1000,1342.474327
543.506108,1000,1346.581372
1839.577174,1000,1351.01179
1729.982137,1000,1355.137709
1847.042598,1000,1359.775342
-487.695472,1000,1363.942441
1687.312957,1000,1368.489177
1713.893908,1000,1372.554528
1994.617774,1000,1377.09698
1827.084524,1000,1381.297301
1793.951718,1000,1385.790062
1720.876756,1000,1389.90988
2033.510467,1000,1394.362826
1882.412444,1000,1398.544275
2166.777595,1000,1403.10283
1845.556399,1000,1407.263442
1623.045394,1000,1411.74244
1823.187465,1000,1415.795043
1829.012883,1000,1420.32331
1839.78217,1000,1424.548346
1554.10559,1000,1429.074314
1823.625693,1000,1433.188693
1940.70069,1000,1437.657788
1675.529169,1000,1441.774082
1542.51667,1000,1446.280167
1546.39983,1000,1450.405882
1452.016067,1000,1454.932198
1879.539163,1000,1458.977316
1497.409061,1000,1463.558571
1922.327437,1000,1467.683972
1511.595131,1000,1472.201226
2025.17173,1000,1476.277277
1681.240659,1000,1480.741356
1720.695573,1000,1484.884024
1837.507856,1000,1489.412074
1943.512297,1000,1493.535052
1708.343399,1000,1498.025488
1771.063702,1000,1502.106359
1559.600094,1000,1506.606378
1848.946913,1000,1510.79312
2281.860357,1000,1515.354207
2110.176171,1000,1519.459687
1693.962705,1000,1523.970115
1948.789804,1000,1528.103397
2023.982083,1000,1532.620876
1619.42899,1000,1536.802183
1866.216693,1000,1541.317734
1556.195451,1000,1545.405632
1992.76812,1000,1549.956619
1900.827121,1000,1554.088724
1731.822468,1000,1558.694364
1806.764992,1000,1562.821239
1951.930955,1000,1567.357863
1903.687314,1000,1571.500546
2096.302826,1000,1576.036177
2009.821719,1000,1580.182731
1767.62936,1000,1584.764217
1998.269212,1000,1588.886228
571.386,1000,1593.494672
1745.597741,1000,1597.70666
1809.405411,1000,1602.283445
2033.167554,1000,1606.430971
1594.792432,1000,1610.990662
1552.945553,1000,1615.138525
1950.950202,1000,1619.772556
2159.266195,1000,1623.918502
1589.588604,1000,1628.500354
1843.493357,1000,1632.547331
1764.786767,1000,1637.143852
1965.226329,1000,1641.314538
2012.01878,1000,1645.923132
1987.698868,1000,1650.082665
1549.850702,1000,1654.603779
1901.725652,1000,1658.741705
1958.99463,1000,1663.346139
2082.69609,1000,1667.502366
2043.688002,1000,1672.087885
2184.947694,1000,1676.153249
1755.661209,1000,1680.770694
1890.138032,1000,1684.941489
2028.833853,1000,1689.567751
1713.303272,1000,1693.748517
929.819426,1000,1698.295127
2129.583764,1000,1702.419914
1957.883835,1000,1707.057143
1784.004748,1000,1711.226971
1618.477656,1000,1715.86628
1963.478132,1000,1719.949591
1957.475854,1000,1724.505055
1765.226138,1000,1728.655453
2128.172023,1000,1733.304689
1969.221214,1000,1737.432178
2058.958466,1000,1742.081383
1882.007119,1000,1746.129484
1718.768525,1000,1750.775761
1813.927134,1000,1754.987115
1892.584004,1000,1759.653455
2112.296087,1000,1763.805443
1933.175128,1000,1768.372242
2014.232215,1000,1772.518564
2159.279371,1000,1777.140879
1971.11784,1000,1781.322137
2230.599516,1000,1785.929958
2087.313373,1000,1789.998538
1554.432765,1000,1794.571042
1843.840815,1000,1798.726813
1797.307437,1000,1803.348598
1909.030553,1000,1807.510364
2014.336729,1000,1812.056555
2081.209469,1000,1816.128093
1785.631398,1000,1820.741923
1499.282632,1000,1824.899687
1874.774499,1000,1829.540898
2016.618332,1000,1833.62215
1943.166415,1000,1838.206488
1892.041684,1000,1842.342169
1802.188,1000,1847.005147
1885.385709,1000,1851.175684
1916.911141,1000,1855.812817
2016.375365,1000,1859.869832
2019.316781,1000,1864.545601
2025.209582,1000,1868.728973
1717.26548,1000,1873.401095
2061.919261,1000,1877.570194
2162.381471,1000,1882.153825
1981.045824,1000,1886.279293
2045.990632,1000,1890.916071
1960.074528,1000,1895.11085
2061.248947,1000,1899.75479
1944.846247,1000,1903.858223
1779.649876,1000,1908.506364
1763.321969,1000,1912.672241
1816.479253,1000,1917.321672
1946.02423,1000,1921.470635
1747.082212,1000,1926.151404
1670.015684,1000,1930.224517
1624.531772,1000,1934.886644
1941.661162,1000,1939.046873
2003.658528,1000,1943.764935
1975.280779,1000,1947.931874
2038.437261,1000,1952.570535
1827.691294,1000,1956.720765
1924.589209,1000,1961.400706
2044.432474,1000,1965.579448
1894.933154,1000,1970.275318
2146.842431,1000,1974.35697
2039.831828,1000,1979.007553
1855.169669,1000,1983.158701
1921.127493,1000,1987.805439
2055.587346,1000,1991.932865
2118.943563,1000,1996.645839
1972.545012,1000,2000.71966
2209.026522,1000,2005.420201
2026.914634,1000,2009.58779
1954.829997,1000,2014.287177
1978.721575,1000,2018.466675
1849.644853,1000,2023.113909
1974.808141,1000,2027.214584
1167.198348,1000,2031.905645
1814.940072,1000,2036.085901
2058.258817,1000,2040.815742
1988.310082,1000,2044.951065
2099.545231,1000,2049.600199
1861.808236,1000,2053.77584
1968.845609,1000,2058.483217
1995.755161,1000,2062.666934
1926.502632,1000,2067.419598
1921.466179,1000,2071.507802
1769.357524,1000,2076.235901
1897.555531,1000,2080.40147
1782.591359,1000,2085.073489
1651.390103,1000,2089.219815
2006.690853,1000,2093.868893
1923.240833,1000,2097.954985
1936.270712,1000,2102.672693
1647.102216,1000,2106.854617
1645.522109,1000,2111.608252
1921.32428,1000,2115.811392
2000.3027,1000,2120.516524
1565.139907,1000,2124.641539
1761.584839,1000,2129.34881
1894.666296,1000,2133.533152
2029.817925,1000,2138.252428
1792.979969,1000,2142.374147
1740.326654,1000,2147.040486
2111.554052,1000,2151.19571
2253.07045,1000,2155.920929
1463.40413,1000,2160.109848
1791.903009,1000,2164.869839
