total/epochs,rollout/Q_mean,obs_rms_std,total/steps,reference_action_std,reference_actor_Q_std,train/param_noise_distance,obs_rms_mean,rollout/return,rollout/episodes,total/duration,reference_Q_std,train/loss_critic,total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return_history,total/steps_per_second,train/loss_actor,rollout/episode_steps,rollout/actions_mean,reference_Q_mean,reference_action_mean,param_noise_stddev,rollout/actions_std,reference_perturbed_action_mean
17,8.050960540771484,1.6843748092651367,34000,0.8918694853782654,19.880142211914062,0.21297083795070648,0.11877217143774033,-295.8177454208843,34.0,141.81227684020996,19.56232261657715,0.9671275615692139,34.0,0.8903581500053406,6.768424034118652,-295.8177454208843,239.75357252256964,-9.890054702758789,1000.0,0.1576407253742218,6.2926201820373535,0.11580731719732285,0.034027141129503384,0.7561689019203186,0.1386347860097885
18,8.924968719482422,1.740620732307434,36000,0.8903844356536865,21.827436447143555,0.23240838944911957,0.11949291080236435,-263.88192636507034,36.0,150.10612773895264,21.371742248535156,0.7752522230148315,36.0,0.8942573070526123,7.077404022216797,-263.88192636507034,239.83031567243592,-10.59183120727539,1000.0,0.15430128574371338,6.3869733810424805,0.17808158695697784,0.032055106170371106,0.7518244981765747,0.1279609501361847
19,9.953206062316895,1.7911769151687622,38000,0.8772106766700745,23.783309936523438,0.18794694542884827,0.12032769620418549,-214.02175708739114,38.0,158.49556851387024,23.64961814880371,1.5716129541397095,38.0,0.8704349994659424,9.067865371704102,-214.02175708739114,239.75433733766852,-13.774681091308594,1000.0,0.14413334429264069,8.611104965209961,0.21318955719470978,0.03335667202186392,0.7519867420196533,0.24998115003108978
20,11.095993995666504,1.828285574913025,40000,0.8403253555297852,26.215938568115234,0.21383608877658844,0.12053070217370987,-174.6019376940045,40.0,166.74655294418335,25.727441787719727,0.914316713809967,40.0,0.8651769757270813,12.856290817260742,-174.6019376940045,239.88501887286137,-17.801122665405273,1000.0,0.13811123371124268,11.934510231018066,0.19996948540210724,0.03142349394213421,0.7525613903999329,0.16795122623443604
21,12.413005828857422,1.874904990196228,42000,0.818169116973877,27.74057388305664,0.22499559819698334,0.12203699350357056,-124.09054155031097,42.0,175.09544396400452,27.19569206237793,1.6677747964859009,42.0,0.8555793762207031,16.713619232177734,-124.09054155031097,239.86917677100843,-23.2646427154541,1000.0,0.13577331602573395,15.743499755859375,0.15022659301757812,0.032055106170371106,0.7541302442550659,0.16728611290454865
22,12.59164047241211,1.8902143239974976,44000,0.798529326915741,31.150070190429688,0.19430653750896454,0.1237318366765976,-107.17488242603812,44.0,183.3505506515503,30.639713287353516,1.651567816734314,44.0,0.8488675355911255,18.89507293701172,-107.17488242603812,239.97746308174484,-25.730613708496094,1000.0,0.12796951830387115,18.137248992919922,0.07960633188486099,0.034711086666206405,0.7617136836051941,0.1445838063955307
23,12.096653938293457,1.8844563961029053,46000,0.8131686449050903,35.18106460571289,0.2373826950788498,0.12626613676548004,-106.94850934801521,46.0,191.71505975723267,34.50047302246094,1.4357600212097168,46.0,0.8196920156478882,19.663476943969727,-106.94850934801521,239.93941873032537,-26.010129928588867,1000.0,0.12366100400686264,19.015026092529297,0.08873406797647476,0.03540877950819716,0.7702792286872864,0.06792905926704407
24,13.808544158935547,1.9175976514816284,48000,0.8154118061065674,39.1228141784668,0.28360074758529663,0.1268657147884369,-70.62958305025292,48.0,200.02518820762634,38.46538543701172,2.2624568939208984,48.0,0.8229170441627502,21.049434661865234,-70.62958305025292,239.96977795704385,-30.883642196655273,1000.0,0.1198960617184639,20.360218048095703,0.1904594749212265,0.03540877950819716,0.7697551846504211,0.2064329981803894
25,14.800077438354492,1.9456629753112793,50000,0.808651864528656,41.534847259521484,0.19713421165943146,0.12859362363815308,-37.74599362723281,50.0,208.36339354515076,41.17100143432617,2.7144830226898193,50.0,0.860379695892334,21.546009063720703,-37.74599362723281,239.96537563190236,-34.147789001464844,1000.0,0.11674682050943375,20.839679718017578,-0.01755920983850956,0.034027141129503384,0.7731531858444214,-0.02412010170519352
26,14.923592567443848,1.953508734703064,52000,0.8264387845993042,45.09210205078125,0.20197150111198425,0.12968650460243225,-29.415293370597517,52.0,216.63295364379883,44.32720947265625,5.548968315124512,52.0,0.7865826487541199,23.76418685913086,-29.415293370597517,240.03734946762341,-37.04694366455078,1000.0,0.11512364447116852,22.63709831237793,0.030841223895549774,0.034711086666206405,0.778157651424408,0.0716509148478508
